market_id,micro_group_id,group_label,relationship,rank,confidence,rationale
949492,business-finance-1,Fed rate cut by FOMC meeting (cumulative),IMPLIES,1,high,Same easing event; a cut by an earlier FOMC meeting implies a cut by every later meeting.
949493,business-finance-1,Fed rate cut by FOMC meeting (cumulative),IMPLIES,2,high,Same easing event; a cut by an earlier FOMC meeting implies a cut by every later meeting.
949494,business-finance-1,Fed rate cut by FOMC meeting (cumulative),IMPLIES,3,high,Same easing event; a cut by an earlier FOMC meeting implies a cut by every later meeting.
949495,business-finance-1,Fed rate cut by FOMC meeting (cumulative),IMPLIES,4,high,Same easing event; a cut by an earlier FOMC meeting implies a cut by every later meeting.
1439536,business-finance-1,Fed rate cut by FOMC meeting (cumulative),IMPLIES,5,high,Same easing event; a cut by an earlier FOMC meeting implies a cut by every later meeting.
1439549,business-finance-1,Fed rate cut by FOMC meeting (cumulative),IMPLIES,6,high,Same easing event; a cut by an earlier FOMC meeting implies a cut by every later meeting.
1439550,business-finance-1,Fed rate cut by FOMC meeting (cumulative),IMPLIES,7,high,Same easing event; a cut by an earlier FOMC meeting implies a cut by every later meeting.
1439555,business-finance-1,Fed rate cut by FOMC meeting (cumulative),IMPLIES,8,high,Same easing event; a cut by an earlier FOMC meeting implies a cut by every later meeting.
1808544,business-finance-2,Fed rate hike by FOMC meeting (cumulative),IMPLIES,1,high,Same tightening event; a hike by an earlier deadline implies a hike by every later deadline.
1808545,business-finance-2,Fed rate hike by FOMC meeting (cumulative),IMPLIES,2,high,Same tightening event; a hike by an earlier deadline implies a hike by every later deadline.
1808546,business-finance-2,Fed rate hike by FOMC meeting (cumulative),IMPLIES,3,high,Same tightening event; a hike by an earlier deadline implies a hike by every later deadline.
1808547,business-finance-2,Fed rate hike by FOMC meeting (cumulative),IMPLIES,4,high,Same tightening event; a hike by an earlier deadline implies a hike by every later deadline.
1808548,business-finance-2,Fed rate hike by FOMC meeting (cumulative),IMPLIES,5,high,Same tightening event; a hike by an earlier deadline implies a hike by every later deadline.
908713,business-finance-2,Fed rate hike by FOMC meeting (cumulative),IMPLIES,6,high,Same tightening event; a hike by an earlier deadline implies a hike by every later deadline.
690198,business-finance-3,Fed upper bound >= threshold before 2027,IMPLIES,1,high,Same indicator; reaching a higher upper-bound threshold implies reaching every lower one.
690199,business-finance-3,Fed upper bound >= threshold before 2027,IMPLIES,2,high,Same indicator; reaching a higher upper-bound threshold implies reaching every lower one.
690197,business-finance-3,Fed upper bound >= threshold before 2027,IMPLIES,3,high,Same indicator; reaching a higher upper-bound threshold implies reaching every lower one.
690201,business-finance-3,Fed upper bound >= threshold before 2027,IMPLIES,4,high,Same indicator; reaching a higher upper-bound threshold implies reaching every lower one.
690200,business-finance-3,Fed upper bound >= threshold before 2027,IMPLIES,5,high,Same indicator; reaching a higher upper-bound threshold implies reaching every lower one.
690202,business-finance-3,Fed upper bound >= threshold before 2027,IMPLIES,6,high,Same indicator; reaching a higher upper-bound threshold implies reaching every lower one.
690211,business-finance-4,Fed lower bound <= threshold before 2027,IMPLIES,1,high,Same indicator; reaching a lower easing threshold implies reaching every higher one.
690210,business-finance-4,Fed lower bound <= threshold before 2027,IMPLIES,2,high,Same indicator; reaching a lower easing threshold implies reaching every higher one.
690209,business-finance-4,Fed lower bound <= threshold before 2027,IMPLIES,3,high,Same indicator; reaching a lower easing threshold implies reaching every higher one.
690208,business-finance-4,Fed lower bound <= threshold before 2027,IMPLIES,4,high,Same indicator; reaching a lower easing threshold implies reaching every higher one.
690204,business-finance-4,Fed lower bound <= threshold before 2027,IMPLIES,5,high,Same indicator; reaching a lower easing threshold implies reaching every higher one.
690205,business-finance-4,Fed lower bound <= threshold before 2027,IMPLIES,6,high,Same indicator; reaching a lower easing threshold implies reaching every higher one.
690206,business-finance-4,Fed lower bound <= threshold before 2027,IMPLIES,7,high,Same indicator; reaching a lower easing threshold implies reaching every higher one.
690207,business-finance-4,Fed lower bound <= threshold before 2027,IMPLIES,8,high,Same indicator; reaching a lower easing threshold implies reaching every higher one.
690203,business-finance-4,Fed lower bound <= threshold before 2027,IMPLIES,9,high,Same indicator; reaching a lower easing threshold implies reaching every higher one.
690212,business-finance-4,Fed lower bound <= threshold before 2027,IMPLIES,10,high,Same indicator; reaching a lower easing threshold implies reaching every higher one.
690214,business-finance-4,Fed lower bound <= threshold before 2027,IMPLIES,11,high,Same indicator; reaching a lower easing threshold implies reaching every higher one.
690215,business-finance-4,Fed lower bound <= threshold before 2027,IMPLIES,12,high,Same indicator; reaching a lower easing threshold implies reaching every higher one.
690220,business-finance-4,Fed lower bound <= threshold before 2027,IMPLIES,13,high,Same indicator; reaching a lower easing threshold implies reaching every higher one.
690221,business-finance-4,Fed lower bound <= threshold before 2027,IMPLIES,14,high,Same indicator; reaching a lower easing threshold implies reaching every higher one.
690225,business-finance-4,Fed lower bound <= threshold before 2027,IMPLIES,15,high,Same indicator; reaching a lower easing threshold implies reaching every higher one.
1115676,business-finance-5,Powell out of Fed Board by deadline,IMPLIES,1,high,Same event; Powell leaving by the earlier date implies leaving by the later date.
1115677,business-finance-5,Powell out of Fed Board by deadline,IMPLIES,2,high,Same event; Powell leaving by the earlier date implies leaving by the later date.
677028,business-finance-6,10y Treasury yield hits >= threshold before 2027,IMPLIES,1,high,Same indicator; hitting a higher yield implies hitting every lower yield.
677027,business-finance-6,10y Treasury yield hits >= threshold before 2027,IMPLIES,2,high,Same indicator; hitting a higher yield implies hitting every lower yield.
677026,business-finance-6,10y Treasury yield hits >= threshold before 2027,IMPLIES,3,high,Same indicator; hitting a higher yield implies hitting every lower yield.
677025,business-finance-6,10y Treasury yield hits >= threshold before 2027,IMPLIES,4,high,Same indicator; hitting a higher yield implies hitting every lower yield.
677024,business-finance-6,10y Treasury yield hits >= threshold before 2027,IMPLIES,5,high,Same indicator; hitting a higher yield implies hitting every lower yield.
677023,business-finance-6,10y Treasury yield hits >= threshold before 2027,IMPLIES,6,high,Same indicator; hitting a higher yield implies hitting every lower yield.
677022,business-finance-6,10y Treasury yield hits >= threshold before 2027,IMPLIES,7,high,Same indicator; hitting a higher yield implies hitting every lower yield.
677021,business-finance-6,10y Treasury yield hits >= threshold before 2027,IMPLIES,8,high,Same indicator; hitting a higher yield implies hitting every lower yield.
902298,business-finance-6,10y Treasury yield hits >= threshold before 2027,IMPLIES,9,high,Same indicator; hitting a higher yield implies hitting every lower yield.
902299,business-finance-6,10y Treasury yield hits >= threshold before 2027,IMPLIES,10,high,Same indicator; hitting a higher yield implies hitting every lower yield.
677142,business-finance-7,10y Treasury yield dips below threshold before 2027,IMPLIES,1,high,Same indicator; dipping below a lower yield implies dipping below every higher yield.
677141,business-finance-7,10y Treasury yield dips below threshold before 2027,IMPLIES,2,high,Same indicator; dipping below a lower yield implies dipping below every higher yield.
677140,business-finance-7,10y Treasury yield dips below threshold before 2027,IMPLIES,3,high,Same indicator; dipping below a lower yield implies dipping below every higher yield.
677139,business-finance-7,10y Treasury yield dips below threshold before 2027,IMPLIES,4,high,Same indicator; dipping below a lower yield implies dipping below every higher yield.
677143,business-finance-7,10y Treasury yield dips below threshold before 2027,IMPLIES,5,high,Same indicator; dipping below a lower yield implies dipping below every higher yield.
677144,business-finance-7,10y Treasury yield dips below threshold before 2027,IMPLIES,6,high,Same indicator; dipping below a lower yield implies dipping below every higher yield.
677145,business-finance-7,10y Treasury yield dips below threshold before 2027,IMPLIES,7,high,Same indicator; dipping below a lower yield implies dipping below every higher yield.
677146,business-finance-7,10y Treasury yield dips below threshold before 2027,IMPLIES,8,high,Same indicator; dipping below a lower yield implies dipping below every higher yield.
677138,business-finance-7,10y Treasury yield dips below threshold before 2027,IMPLIES,9,high,Same indicator; dipping below a lower yield implies dipping below every higher yield.
680954,business-finance-8,2026 CPI inflation > threshold,IMPLIES,1,high,Same CPI measure; exceeding a higher inflation rate implies exceeding every lower one.
680953,business-finance-8,2026 CPI inflation > threshold,IMPLIES,2,high,Same CPI measure; exceeding a higher inflation rate implies exceeding every lower one.
680952,business-finance-8,2026 CPI inflation > threshold,IMPLIES,3,high,Same CPI measure; exceeding a higher inflation rate implies exceeding every lower one.
680951,business-finance-8,2026 CPI inflation > threshold,IMPLIES,4,high,Same CPI measure; exceeding a higher inflation rate implies exceeding every lower one.
2241741,business-finance-8,2026 CPI inflation > threshold,IMPLIES,5,high,Same CPI measure; exceeding a higher inflation rate implies exceeding every lower one.
680950,business-finance-8,2026 CPI inflation > threshold,IMPLIES,6,high,Same CPI measure; exceeding a higher inflation rate implies exceeding every lower one.
1665896,business-finance-8,2026 CPI inflation > threshold,IMPLIES,7,high,Same CPI measure; exceeding a higher inflation rate implies exceeding every lower one.
680949,business-finance-8,2026 CPI inflation > threshold,IMPLIES,8,high,Same CPI measure; exceeding a higher inflation rate implies exceeding every lower one.
1087313,business-finance-9,2026 US unemployment >= threshold,IMPLIES,1,high,Same U-3 measure; reaching a higher unemployment rate implies reaching every lower one.
1087312,business-finance-9,2026 US unemployment >= threshold,IMPLIES,2,high,Same U-3 measure; reaching a higher unemployment rate implies reaching every lower one.
1087311,business-finance-9,2026 US unemployment >= threshold,IMPLIES,3,high,Same U-3 measure; reaching a higher unemployment rate implies reaching every lower one.
1087310,business-finance-9,2026 US unemployment >= threshold,IMPLIES,4,high,Same U-3 measure; reaching a higher unemployment rate implies reaching every lower one.
1087309,business-finance-9,2026 US unemployment >= threshold,IMPLIES,5,high,Same U-3 measure; reaching a higher unemployment rate implies reaching every lower one.
1125373,business-finance-10,S&P 500 hits >= price (HIGH) in June 2026,IMPLIES,1,high,Same index/window; hitting a higher S&P level implies hitting every lower level.
2236208,business-finance-10,S&P 500 hits >= price (HIGH) in June 2026,IMPLIES,2,high,Same index/window; hitting a higher S&P level implies hitting every lower level.
1125374,business-finance-10,S&P 500 hits >= price (HIGH) in June 2026,IMPLIES,3,high,Same index/window; hitting a higher S&P level implies hitting every lower level.
2236358,business-finance-10,S&P 500 hits >= price (HIGH) in June 2026,IMPLIES,4,high,Same index/window; hitting a higher S&P level implies hitting every lower level.
1125375,business-finance-10,S&P 500 hits >= price (HIGH) in June 2026,IMPLIES,5,high,Same index/window; hitting a higher S&P level implies hitting every lower level.
1125376,business-finance-10,S&P 500 hits >= price (HIGH) in June 2026,IMPLIES,6,high,Same index/window; hitting a higher S&P level implies hitting every lower level.
1125377,business-finance-10,S&P 500 hits >= price (HIGH) in June 2026,IMPLIES,7,high,Same index/window; hitting a higher S&P level implies hitting every lower level.
1125378,business-finance-10,S&P 500 hits >= price (HIGH) in June 2026,IMPLIES,8,high,Same index/window; hitting a higher S&P level implies hitting every lower level.
1125383,business-finance-11,S&P 500 hits <= price (LOW) in June 2026,IMPLIES,1,high,Same index/window; hitting a lower S&P level implies hitting every higher level.
1125382,business-finance-11,S&P 500 hits <= price (LOW) in June 2026,IMPLIES,2,high,Same index/window; hitting a lower S&P level implies hitting every higher level.
1125381,business-finance-11,S&P 500 hits <= price (LOW) in June 2026,IMPLIES,3,high,Same index/window; hitting a lower S&P level implies hitting every higher level.
2236212,business-finance-11,S&P 500 hits <= price (LOW) in June 2026,IMPLIES,3,high,Same index/window; hitting a lower S&P level implies hitting every higher level.
1125380,business-finance-11,S&P 500 hits <= price (LOW) in June 2026,IMPLIES,5,high,Same index/window; hitting a lower S&P level implies hitting every higher level.
1125379,business-finance-11,S&P 500 hits <= price (LOW) in June 2026,IMPLIES,6,high,Same index/window; hitting a lower S&P level implies hitting every higher level.
2236211,business-finance-11,S&P 500 hits <= price (LOW) in June 2026,IMPLIES,6,high,Same index/window; hitting a lower S&P level implies hitting every higher level.
2236210,business-finance-11,S&P 500 hits <= price (LOW) in June 2026,IMPLIES,8,high,Same index/window; hitting a lower S&P level implies hitting every higher level.
2236209,business-finance-11,S&P 500 hits <= price (LOW) in June 2026,IMPLIES,9,high,Same index/window; hitting a lower S&P level implies hitting every higher level.
1335135,business-finance-12,EUR/USD hits >= level (High) in 2026,IMPLIES,1,high,Same pair; hitting a higher EUR/USD level implies hitting every lower level.
1335136,business-finance-12,EUR/USD hits >= level (High) in 2026,IMPLIES,2,high,Same pair; hitting a higher EUR/USD level implies hitting every lower level.
1335137,business-finance-12,EUR/USD hits >= level (High) in 2026,IMPLIES,3,high,Same pair; hitting a higher EUR/USD level implies hitting every lower level.
1335138,business-finance-12,EUR/USD hits >= level (High) in 2026,IMPLIES,4,high,Same pair; hitting a higher EUR/USD level implies hitting every lower level.
1335139,business-finance-12,EUR/USD hits >= level (High) in 2026,IMPLIES,5,high,Same pair; hitting a higher EUR/USD level implies hitting every lower level.
1335140,business-finance-12,EUR/USD hits >= level (High) in 2026,IMPLIES,6,high,Same pair; hitting a higher EUR/USD level implies hitting every lower level.
1335141,business-finance-12,EUR/USD hits >= level (High) in 2026,IMPLIES,7,high,Same pair; hitting a higher EUR/USD level implies hitting every lower level.
1335147,business-finance-13,EUR/USD hits <= level (Low) in 2026,IMPLIES,1,high,Same pair; hitting a lower EUR/USD level implies hitting every higher level.
1335146,business-finance-13,EUR/USD hits <= level (Low) in 2026,IMPLIES,2,high,Same pair; hitting a lower EUR/USD level implies hitting every higher level.
1335145,business-finance-13,EUR/USD hits <= level (Low) in 2026,IMPLIES,3,high,Same pair; hitting a lower EUR/USD level implies hitting every higher level.
1335144,business-finance-13,EUR/USD hits <= level (Low) in 2026,IMPLIES,4,high,Same pair; hitting a lower EUR/USD level implies hitting every higher level.
1335143,business-finance-13,EUR/USD hits <= level (Low) in 2026,IMPLIES,5,high,Same pair; hitting a lower EUR/USD level implies hitting every higher level.
1335142,business-finance-13,EUR/USD hits <= level (Low) in 2026,IMPLIES,6,high,Same pair; hitting a lower EUR/USD level implies hitting every higher level.
2298932,business-finance-14,Stripe private valuation >= $B by June 30 2026,IMPLIES,1,high,Same NPM valuation metric; reaching a higher valuation implies reaching every lower one.
2298933,business-finance-14,Stripe private valuation >= $B by June 30 2026,IMPLIES,2,high,Same NPM valuation metric; reaching a higher valuation implies reaching every lower one.
2298934,business-finance-14,Stripe private valuation >= $B by June 30 2026,IMPLIES,3,high,Same NPM valuation metric; reaching a higher valuation implies reaching every lower one.
2298935,business-finance-14,Stripe private valuation >= $B by June 30 2026,IMPLIES,4,high,Same NPM valuation metric; reaching a higher valuation implies reaching every lower one.
2298936,business-finance-14,Stripe private valuation >= $B by June 30 2026,IMPLIES,5,high,Same NPM valuation metric; reaching a higher valuation implies reaching every lower one.
2298937,business-finance-14,Stripe private valuation >= $B by June 30 2026,IMPLIES,6,high,Same NPM valuation metric; reaching a higher valuation implies reaching every lower one.
2298938,business-finance-14,Stripe private valuation >= $B by June 30 2026,IMPLIES,7,high,Same NPM valuation metric; reaching a higher valuation implies reaching every lower one.
2298939,business-finance-14,Stripe private valuation >= $B by June 30 2026,IMPLIES,8,high,Same NPM valuation metric; reaching a higher valuation implies reaching every lower one.
2298940,business-finance-14,Stripe private valuation >= $B by June 30 2026,IMPLIES,9,high,Same NPM valuation metric; reaching a higher valuation implies reaching every lower one.
2298941,business-finance-14,Stripe private valuation >= $B by June 30 2026,IMPLIES,10,high,Same NPM valuation metric; reaching a higher valuation implies reaching every lower one.
2298942,business-finance-14,Stripe private valuation >= $B by June 30 2026,IMPLIES,11,high,Same NPM valuation metric; reaching a higher valuation implies reaching every lower one.
656310,business-finance-15,OpenAI completes IPO by deadline,IMPLIES,1,high,Same OpenAI IPO; completing it by an earlier date implies completing it by every later date (Dec-2026 deadline equals 'before 2027').
656311,business-finance-15,OpenAI completes IPO by deadline,IMPLIES,2,high,Same OpenAI IPO; completing it by an earlier date implies completing it by every later date (Dec-2026 deadline equals 'before 2027').
2314474,business-finance-15,OpenAI completes IPO by deadline,IMPLIES,3,high,Same OpenAI IPO; completing it by an earlier date implies completing it by every later date (Dec-2026 deadline equals 'before 2027').
2314378,business-finance-15,OpenAI completes IPO by deadline,IMPLIES,4,high,Same OpenAI IPO; completing it by an earlier date implies completing it by every later date (Dec-2026 deadline equals 'before 2027').
2314379,business-finance-15,OpenAI completes IPO by deadline,IMPLIES,5,high,Same OpenAI IPO; completing it by an earlier date implies completing it by every later date (Dec-2026 deadline equals 'before 2027').
656312,business-finance-15,OpenAI completes IPO by deadline,IMPLIES,6,high,Same OpenAI IPO; completing it by an earlier date implies completing it by every later date (Dec-2026 deadline equals 'before 2027').
676785,business-finance-15,OpenAI completes IPO by deadline,IMPLIES,6,high,Same OpenAI IPO; completing it by an earlier date implies completing it by every later date (Dec-2026 deadline equals 'before 2027').
2321568,business-finance-16,OpenAI files IPO registration (S-1) by deadline,IMPLIES,1,high,Same filing event; filing by an earlier date implies filing by every later date.
2321569,business-finance-16,OpenAI files IPO registration (S-1) by deadline,IMPLIES,2,high,Same filing event; filing by an earlier date implies filing by every later date.
2321570,business-finance-16,OpenAI files IPO registration (S-1) by deadline,IMPLIES,3,high,Same filing event; filing by an earlier date implies filing by every later date.
2321571,business-finance-16,OpenAI files IPO registration (S-1) by deadline,IMPLIES,4,high,Same filing event; filing by an earlier date implies filing by every later date.
2307904,business-finance-17,OpenAI private valuation >= $B by Dec 31 2026,IMPLIES,1,high,Same NPM valuation metric; reaching a higher valuation implies reaching every lower one.
2307896,business-finance-17,OpenAI private valuation >= $B by Dec 31 2026,IMPLIES,2,high,Same NPM valuation metric; reaching a higher valuation implies reaching every lower one.
2299984,business-finance-17,OpenAI private valuation >= $B by Dec 31 2026,IMPLIES,3,high,Same NPM valuation metric; reaching a higher valuation implies reaching every lower one.
