market_id,micro_group_id,group_label,relationship,rank,confidence,rationale
573827,tech-1,Claude 5 release deadline ladder,IMPLIES,1,high,Same Claude 5 model; an earlier release deadline strictly implies every later deadline.
1336694,tech-1,Claude 5 release deadline ladder,IMPLIES,2,high,Same Claude 5 model; an earlier release deadline strictly implies every later deadline.
1333241,tech-1,Claude 5 release deadline ladder,IMPLIES,3,high,Same Claude 5 model; an earlier release deadline strictly implies every later deadline.
1320787,tech-1,Claude 5 release deadline ladder,IMPLIES,4,high,Same Claude 5 model; an earlier release deadline strictly implies every later deadline.
1363115,tech-1,Claude 5 release deadline ladder,IMPLIES,5,high,Same Claude 5 model; an earlier release deadline strictly implies every later deadline.
573828,tech-1,Claude 5 release deadline ladder,IMPLIES,6,high,Same Claude 5 model; an earlier release deadline strictly implies every later deadline.
1363116,tech-1,Claude 5 release deadline ladder,IMPLIES,7,high,Same Claude 5 model; an earlier release deadline strictly implies every later deadline.
1748641,tech-1,Claude 5 release deadline ladder,IMPLIES,8,high,Same Claude 5 model; an earlier release deadline strictly implies every later deadline.
1748840,tech-1,Claude 5 release deadline ladder,IMPLIES,9,high,Same Claude 5 model; an earlier release deadline strictly implies every later deadline.
2169806,tech-1,Claude 5 release deadline ladder,IMPLIES,10,high,Same Claude 5 model; an earlier release deadline strictly implies every later deadline.
1743765,tech-2,Claude Mythos release deadline ladder,IMPLIES,1,high,Same Claude Mythos model; an earlier release deadline strictly implies every later deadline.
1743767,tech-2,Claude Mythos release deadline ladder,IMPLIES,2,high,Same Claude Mythos model; an earlier release deadline strictly implies every later deadline.
1744124,tech-2,Claude Mythos release deadline ladder,IMPLIES,3,high,Same Claude Mythos model; an earlier release deadline strictly implies every later deadline.
573825,tech-3,GPT-6 release deadline ladder,IMPLIES,1,high,Same GPT-6 model; an earlier release deadline strictly implies every later deadline.
573826,tech-3,GPT-6 release deadline ladder,IMPLIES,2,high,Same GPT-6 model; an earlier release deadline strictly implies every later deadline.
676828,tech-3,GPT-6 release deadline ladder,IMPLIES,3,high,Same GPT-6 model; an earlier release deadline strictly implies every later deadline.
1333258,tech-3,GPT-6 release deadline ladder,IMPLIES,4,high,Same GPT-6 model; an earlier release deadline strictly implies every later deadline.
676829,tech-3,GPT-6 release deadline ladder,IMPLIES,5,high,Same GPT-6 model; an earlier release deadline strictly implies every later deadline.
546611,tech-4,OpenAI consumer hardware launch deadline ladder,IMPLIES,1,high,Same event (OpenAI consumer hardware launch); an earlier deadline strictly implies later deadlines.
546612,tech-4,OpenAI consumer hardware launch deadline ladder,IMPLIES,2,high,Same event (OpenAI consumer hardware launch); an earlier deadline strictly implies later deadlines.
676804,tech-4,OpenAI consumer hardware launch deadline ladder,IMPLIES,3,high,Same event (OpenAI consumer hardware launch); an earlier deadline strictly implies later deadlines.
2125427,tech-5,Gemini flagship release deadline ladder,IMPLIES,1,high,Identical 'new Gemini flagship' criteria; an earlier deadline strictly implies later deadlines.
2125428,tech-5,Gemini flagship release deadline ladder,IMPLIES,2,high,Identical 'new Gemini flagship' criteria; an earlier deadline strictly implies later deadlines.
2125429,tech-5,Gemini flagship release deadline ladder,IMPLIES,3,high,Identical 'new Gemini flagship' criteria; an earlier deadline strictly implies later deadlines.
2110293,tech-5,Gemini flagship release deadline ladder,IMPLIES,4,high,Identical 'new Gemini flagship' criteria; an earlier deadline strictly implies later deadlines.
2110294,tech-5,Gemini flagship release deadline ladder,IMPLIES,5,high,Identical 'new Gemini flagship' criteria; an earlier deadline strictly implies later deadlines.
2361490,tech-6,Claude 4.8 release deadline ladder,IMPLIES,1,high,Same Claude 4.8 criteria; an earlier release deadline strictly implies every later deadline.
2361491,tech-6,Claude 4.8 release deadline ladder,IMPLIES,2,high,Same Claude 4.8 criteria; an earlier release deadline strictly implies every later deadline.
2361492,tech-6,Claude 4.8 release deadline ladder,IMPLIES,3,high,Same Claude 4.8 criteria; an earlier release deadline strictly implies every later deadline.
2361493,tech-6,Claude 4.8 release deadline ladder,IMPLIES,4,high,Same Claude 4.8 criteria; an earlier release deadline strictly implies every later deadline.
2132399,tech-7,GPT-5.6 release deadline ladder,IMPLIES,1,high,Same GPT-5.6 criteria; an earlier release deadline strictly implies every later deadline.
2132400,tech-7,GPT-5.6 release deadline ladder,IMPLIES,2,high,Same GPT-5.6 criteria; an earlier release deadline strictly implies every later deadline.
2125755,tech-7,GPT-5.6 release deadline ladder,IMPLIES,3,high,Same GPT-5.6 criteria; an earlier release deadline strictly implies every later deadline.
2303132,tech-7,GPT-5.6 release deadline ladder,IMPLIES,4,high,Same GPT-5.6 criteria; an earlier release deadline strictly implies every later deadline.
2294941,tech-7,GPT-5.6 release deadline ladder,IMPLIES,5,high,Same GPT-5.6 criteria; an earlier release deadline strictly implies every later deadline.
2268845,tech-7,GPT-5.6 release deadline ladder,IMPLIES,6,high,Same GPT-5.6 criteria; an earlier release deadline strictly implies every later deadline.
2100069,tech-7,GPT-5.6 release deadline ladder,IMPLIES,7,high,Same GPT-5.6 criteria; an earlier release deadline strictly implies every later deadline.
2100070,tech-7,GPT-5.6 release deadline ladder,IMPLIES,8,high,Same GPT-5.6 criteria; an earlier release deadline strictly implies every later deadline.
1285713,tech-8,Claude FrontierMath score-threshold ladder,IMPLIES,1,high,Any Claude model clearing a higher FrontierMath score implies clearing every lower threshold.
1285714,tech-8,Claude FrontierMath score-threshold ladder,IMPLIES,2,high,Any Claude model clearing a higher FrontierMath score implies clearing every lower threshold.
1285712,tech-8,Claude FrontierMath score-threshold ladder,IMPLIES,3,high,Any Claude model clearing a higher FrontierMath score implies clearing every lower threshold.
1285711,tech-8,Claude FrontierMath score-threshold ladder,IMPLIES,4,high,Any Claude model clearing a higher FrontierMath score implies clearing every lower threshold.
611054,tech-9,Tesla Optimus release deadline ladder,IMPLIES,1,high,Same Optimus consumer-release criteria; the earlier deadline strictly implies the later one.
1243588,tech-9,Tesla Optimus release deadline ladder,IMPLIES,2,high,Same Optimus consumer-release criteria; the earlier deadline strictly implies the later one.
1509260,tech-10,Anthropic-Pentagon deal deadline ladder,IMPLIES,1,high,Same Anthropic-DOD agreement criteria; an earlier deadline strictly implies later deadlines.
2097648,tech-10,Anthropic-Pentagon deal deadline ladder,IMPLIES,2,high,Same Anthropic-DOD agreement criteria; an earlier deadline strictly implies later deadlines.
2034722,tech-10,Anthropic-Pentagon deal deadline ladder,IMPLIES,3,high,Same Anthropic-DOD agreement criteria; an earlier deadline strictly implies later deadlines.
2160164,tech-11,Trump federal AI-release review deadline ladder,IMPLIES,1,high,Same federal-review action criteria; the earlier deadline strictly implies the later one.
2363609,tech-11,Trump federal AI-release review deadline ladder,IMPLIES,2,high,Same federal-review action criteria; the earlier deadline strictly implies the later one.
2132424,tech-12,OpenAI next-model Arena debut-score ladder,IMPLIES,1,high,Same next-OpenAI-model debut; a higher debut Arena score implies clearing every lower one.
2132423,tech-12,OpenAI next-model Arena debut-score ladder,IMPLIES,2,high,Same next-OpenAI-model debut; a higher debut Arena score implies clearing every lower one.
2132422,tech-12,OpenAI next-model Arena debut-score ladder,IMPLIES,3,high,Same next-OpenAI-model debut; a higher debut Arena score implies clearing every lower one.
2169894,tech-12,OpenAI next-model Arena debut-score ladder,IMPLIES,4,high,Same next-OpenAI-model debut; a higher debut Arena score implies clearing every lower one.
2169896,tech-12,OpenAI next-model Arena debut-score ladder,IMPLIES,5,high,Same next-OpenAI-model debut; a higher debut Arena score implies clearing every lower one.
1370551,tech-13,Any-model Arena score-by-Dec-31 ladder,IMPLIES,1,high,Any model reaching a higher Arena score by Dec 31 implies reaching every lower score.
1370549,tech-13,Any-model Arena score-by-Dec-31 ladder,IMPLIES,2,high,Any model reaching a higher Arena score by Dec 31 implies reaching every lower score.
1087075,tech-13,Any-model Arena score-by-Dec-31 ladder,IMPLIES,3,high,Any model reaching a higher Arena score by Dec 31 implies reaching every lower score.
1087074,tech-13,Any-model Arena score-by-Dec-31 ladder,IMPLIES,4,high,Any model reaching a higher Arena score by Dec 31 implies reaching every lower score.
1087073,tech-13,Any-model Arena score-by-Dec-31 ladder,IMPLIES,5,high,Any model reaching a higher Arena score by Dec 31 implies reaching every lower score.
negrisk::376442,tech-14,#1 Arena company end of May (SC on vs off),EQUIVALENT,,med,Same question (which company holds the #1 Arena model on May 31) differing only by style-control toggle.
negrisk::376520,tech-14,#1 Arena company end of May (SC on vs off),EQUIVALENT,,med,Same question (which company holds the #1 Arena model on May 31) differing only by style-control toggle.
negrisk::57704,tech-15,#1 Arena company end of June (SC on vs off),EQUIVALENT,,med,Same question (which company holds the #1 Arena model on Jun 30) differing only by style-control toggle.
negrisk::57705,tech-15,#1 Arena company end of June (SC on vs off),EQUIVALENT,,med,Same question (which company holds the #1 Arena model on Jun 30) differing only by style-control toggle.
